"","Reference_restr","Author_restr","Source_restr"
"26","Wuchereria bancrofti infection in rural tropical guinea savannah communities: Rapid epidemiological assessment using immunochromatographic card test and prevalence of hydrocoele","Ivoke N, Ezeabikwa BO, Ivoke ON, Ekeh FN, Ezenwaji NE, Odo GE, Onoja US and Eyo JE ","Published paper"
"27","Transmission indices and microfilariae prevalence in human population prior to mass drug administration with ivermectin and albendazole in the Gomoa District of Ghana","Aboagye-Antwi F, Kwansa-Bentum B, Dadzie SK, Ahorlu CK, Appawu MA, Gyapong J, Wilson MD and Boakye DA","Published paper"
"28","Cross-Reactivity of Filariais ICT Cards in Areas of Contrasting Endemicity of Loa loa and Mansonella perstans in Cameroon: Implications for Shrinking of the Lymphatic Filariasis Map in the Central Af*","Wanji S, Amvongo-Adjia N, Koudou B, Njouendou AJ, Chounna Ndongmo PW, Kengne-Ouafo JA, Datchoua-Poutcheu FR, Fovennso BA, Tayong DB, Fombad FF, et al","Published paper"
"29","Residual microfilaraemia in rural pockets of South India after five rounds of DEC plus albendazole administration as part of the LF elimination campaign.","Kalimuthu M, Sunish IP, Nagaraj J, Munirathinam A, Kumar VA, Arunachalam N, White GB and Tyagi BK","Published paper"
"30","Ecological Drivers of Mansonella perstans Infection in Uganda and Patterns of Co-endemicity with Lymphatic Filariasis and Malaria","Stensgaard AS, Vounatsou P, Onapa AW, Utzinger J, Pedersen EM, Kristensen TK and Simonsen PE","Published paper"
"31","Programme to Eliminate Lymphatic Filariasis. Country Report WHO; UGA0015_LF2015","Uganda Ministry of Health","Report"
"32","Programme to Eliminate Lymphatic Filariasis. Country Report WHO; COD0002_LF2012","DR Congo Ministry of Health","Report"
"33","A longitudinal study of Bancroftian filariasis in the Nile Delta of Egypt: baseline data and one-year follow-up","Weil GJ, Ramzy RM, El Setouhy M, Kandil AM, Ahmed ES and Faris R","Published paper"
"34","Efficient assessment of filariasis endemicity by screening for filarial antigenaemia in a sentinel population","Ramzy RM, Hafez ON, Gad AM, Faris R, Harb M, Buck AA and Weil GJ","Published paper"
"35","Effect of yearly mass drug administration with diethylcarbamazine and albendazole on bancroftian filariasis in Egypt: a comprehensive assessment","Ramzy RM, El Setouhy M, Helmy H, Ahmed ES, Abd Elaziz KM, Farid HA, Shannon WD and Weil GJ","Published paper"
"36","Clinical manifestations of Wuchereria bancrofti filariasis in an endemic village in the Nile Delta","Feinsod FM, Faris R, Gad A, el Said S, Soliman BA, Abd-el Azem IS and Saah AJ","Published paper"
"37","Report on the mid-term assessment of microfilaraemia reduction in sentinel sites of 13 countries of the Global Programme to Eliminate Lymphatic Filariasis","WHO","Report"
"38",NA,NA,NA
"39","Field evaluation of a rapid-format kit for the diagnosis of bancroftian filariasis in Egypt","Ramzy RM, Helmy H, el-Lethy AS, Kandil AM, Ahmed ES, Weil GJ and Faris R","Published paper"
"40","Community diagnosis of Bancroftian filariasis","Faris R, Ramzy RM, Gad AM, Weil GJ and Buck AA","Published paper"
"41","Prevalence of microfilaria versus intradermal test in El-Koren, Sharkia G., Egypt","Atta A, Atia MM and Mostafa AM","Published paper"
"42","National Control Programme of Oncocerciasis and other filariasis, Equatorial Guinea; GNQ0001_LF2004","Equatorial Guinea Ministry of Health","Report"
"43","Lymphatic filariasis on the coast of Ghana","Dunyo SK, Appawu M, Nkrumah FK, Baffoe-Wilmot A, Pedersen EM and Simonsen PE","Published paper"
"44","Programme to Eliminate Lymphatic Filariasis. Country Report WHO;GHA0011_LF2007","Ghana Ministry of Health","Report"
"45","Programme to Eliminate Lymphatic Filariasis. Country Report WHO;GHA0021_LF2008","Ghana Ministry of Health","Report"
"46","Programme to Eliminate Lymphatic Filariasis. Country Report WHO;GHA0022_LF2003","Ghana Ministry of Health","Report"
"47","Programme to Eliminate Lymphatic Filariasis. Country Report WHO;GHA0017_LF2009","Ghana Ministry of Health","Report"
"48","Programme to Eliminate Lymphatic Filariasis. Country Report WHO;GHA0020_LF2001","Ghana Ministry of Health","Report"
"49","Lymphatic filariasis in Ghana: establishing the potential for an urban cycle of transmission","Gbakima AA, Appawu MA, Dadzie S, Karikari C, Sackey SO, Baffoe-Wilmot A, Gyapong J and Scott AL","Published paper"
"50","Impact of single-dose ivermectin on community microfilaria load in bancroftian filariasis infection: two years post treatment","Gyapong JO","Published paper"
"51","Evaluation of the filter paper blood collection method for detecting Og4C3 circulating antigen in bancroftian filariasis","Gyapong JO, Omane-Badu K and Webber RH","Published paper"
"52","Bancroftian filariasis in an irrigation project community in southern Ghana","Dzodzomenyo M, Dunyo SK, Ahorlu CK, Coker WZ, Appawu MA, Pedersen EM and Simonsen PE","Published paper"
"53","Rapid community diagnosis of lymphatic filariasis","Gyapong JO, Adjei S, Gyapong M and Asamoah G","Published paper"
"54","Programme to Eliminate Lymphatic Filariasis. Country Report WHO; KEN0001_LF2002","Kenya Ministry of Health","Report"
"55","Programme to Eliminate Lymphatic Filariasis. Country Report WHO; KEN0008_LF2005","Kenya Ministry of Health","Report"
"56","Programme to Eliminate Lymphatic Filariasis. Country Report WHO; KEN0007_LF2003","Kenya Ministry of Health","Report"
"57","Programme to Eliminate Lymphatic Filariasis. Country Report WHO; KEN0006_LF2008","Kenya Ministry of Health","Report"
"58","Bancroftian filariasis infection, disease, and specific antibody response patterns in a high and a low endemicity community in East Africa","Simonsen PE, Meyrowitsch DW, Jaoko WG, Malecela MN, Mukoko D, Pedersen EM, Ouma JH, Rwegoshora RT, Masese N, Magnussen P, Estambale BB and Michael E","Published paper"
"59","The effect of repeated half-yearly diethylcarbamazine mass treatment on Wuchereria bancrofti infection and transmission in two East African communities with different levels of endemicity","Simonsen PE, Meyrowitsch DW, Mukoko DA, Pedersen EM, Malecela-Lazaro MN, Rwegoshora RT, Ouma JH, Masese N, Jaoko WG and Michael E","Published paper"
"60","Evaluation of effectiveness of diethylcarbamazine/albendazole combination in reduction of Wuchereria bancrofti infection using multiple infection parameters","Wamae CN, Njenga SM, Ngugi BM, Mbui J and Njaanake HK","Published paper"
"61","Sustained reduction in prevalence of lymphatic filariasis infection in spite of missed rounds of mass drug administration in an area under mosquito nets for malaria control","Njenga SM, Mwandawiro CS, Wamae CN, Mukoko DA, Omar AA, Shimada M, Bockarie MJ and Molyneux DH","Published paper"
"62","Adult population as potential reservoir of NTD infections in rural villages of Kwale district, Coastal Kenya: implications for preventive chemotherapy interventions policy","Njenga SM, Mwandawiro CS, Muniu E, Mwanje MT, Haji FM and Bockarie MJ","Published paper"
"63","Immuno-parasitological assessment of bancroftian filariasis in a highly endemic area along the River Sabaki, in Malindi district, Kenya","Njenga SM, Wamae CN, Mwandawiro CS and Molyneux DH","Published paper"
"64","Concomitant infections of Plasmodium falciparum and Wuchereria bancrofti on the Kenyan coast","Muturi EJ, Mbogo CM, Mwangangi JM, Ng'ang'a ZW, Kabiru EW, Mwandawiro C and Beier JC","Published paper"
"65","Bancroftian filariasis in 12 villages in Kwale district, Coast province, Kenya - variation in clinical and parasitological patterns","Mukoko DA, Pedersen EM, Masese NN, Estambale BB and Ouma JH","Published paper"
"66","Evaluation of ICT filariasis card test using whole capillary blood: comparison with Knott's concentration and counting chamber methods","Njenga SM and Wamae CN","Published paper"
"67","Bancroftian filariasis in Kwale district, Kenya","Njenga SM, Muita M, Kirigi G, Mbugua J, Mitsui Y, Fujimaki Y and Aoki Y","Published paper"
"68","Wuchereria bancrofti in Kwale District, Coastal Kenya: patterns of focal distribution of infection, clinical manifestations and anti-filarial IgG responsiveness","Wamae CN, Gatika SM, Roberts JM and Lammie PJ","Published paper"
"69","Bancroftian filariasis in Kwale District of Kenya. I. Clinical and parasitological survey in an endemic community","Estambale BB, Simonsen PE, Knight R and Bwayo JJ","Published paper"
"70","Molecular technique utilising sputum for detecting Wuchereria bancrofti infections in Malindi, Kenya","Kagai JM, Mpoke S, Muli F, Hamburger J and Kenya EU","Published paper"
"71","Diethylcarbamazine prophylaxis against bancroftian filariasis given by a member of the local community in Kenya","Wijers DJ, Kaleli N and Ngindu AH","Published paper"
"72","Bancroftian filariasis in Kenya. V. Mass treatment given by members of the local community","Wijers DJ and Kaleli N","Published paper"
"73","Studies on Bancroftian filariasis in Liberia, West Africa. III. Efficacy of repeated treatment with diethylcarbamazine and vector control on the microfilarial reservoir in a rural population","Chlebowsky HO and Zielke E","Published paper"
"74","Laboratory and field evaluation of a new rapid test for detecting Wuchereria bancrofti antigen in human blood","Weil GJ, Curtis KC, Fakoli L, Fischer K, Gankpala L, Lammie PJ, Majewski AC, Pelletreau S, Won KY, Bolay FK and Fischer PU","Published paper"
"75","Programme to Eliminate Lymphatic Filariasis. Country Report WHO; MDG0007_LF2008","Madagascar Ministry of Health","Report"
"76","Programme to Eliminate Lymphatic Filariasis. Country Report WHO; MDG0002_LF2007","Madagascar Ministry of Health","Report"
"77","Programme to Eliminate Lymphatic Filariasis. Country Report WHO; MDG0004_LF2009","Madagascar Ministry of Health","Report"
"78","Programme to Eliminate Lymphatic Filariasis. Country Report WHO; MDG0008_LF2010","Madagascar Ministry of Health","Report"
"79","Programme to Eliminate Lymphatic Filariasis. Country Report WHO; BFA0020_LF2010","Burkina Faso Ministry of Health","Report"
"80","[Bancroftian filariasis in Madagascar: persistent endemicity]","Champetier De Ribes G, Ranaivoson G, Lamina Rakotonjanabelo A, Radoerimanana R and Rabeson D","Published paper"
"81","[Data on lymphatic filariasis caused by W. bancrofti in Madagascar]","Coulanges P","Published paper"
"82","Programme to Eliminate Lymphatic Filariasis. Country Report WHO; MWI0001_LF2008","Malawi Ministry of Health","Report"
"83","Lymphatic filariasis in Lower Shire, southern Malawi","Nielsen NO, Makaula P, Nyakuipa D, Bloch P, Nyasulu Y and Simonsen PE","Published paper"
"84","Programme to Eliminate Lymphatic Filariasis. Country Report WHO; MWI0008_LF2012","Malawi Ministry of Health","Report"
"85","Programme to Eliminate Lymphatic Filariasis. Country Report WHO; MLI0008_LF2006","Mali Ministry of Health","Report"
"86","Programme to Eliminate Lymphatic Filariasis. Country Report WHO; MLI0013_LF2009","Mali Ministry of Health","Report"
"87","Programme to Eliminate Lymphatic Filariasis. Country Report WHO; MLI0012_LF2008","Mali Ministry of Health","Report"
"88","Programme to Eliminate Lymphatic Filariasis. Country Report WHO; MLI0011_LF2005","Mali Ministry of Health","Report"
"89","Clinical characteristics of post-treatment reactions to ivermectin/albendazole for Wuchereria bancrofti in a region co-endemic for Mansonella perstans","Keiser PB, Coulibaly YI, Keita F, Traore D, Diallo A, Diallo DA, Semnani RT, Doumbo OK, Traore SF, Klion AD and Nutman TB","Published paper"
"90","[Presence and risk of transmission of Wuchereria bancrofti is a reality in rural Mali: the case of the town of Bariambani in the Cirle of Kati]","Coulibaly YI, Dao S, Traore AK, Diallo A, Sacko M and Traore SF","Published paper"
"91","La filariose de Bancroft à Mayotte : état actuel de l'endémie filarienne et programme de lutte","Blanchy S and Galtier J","Published paper"
"92","[Effectiveness of mass chemotherapy campaigns with diethylcarbamazine on blood microfilaria of Wuchereria bancrofti in Mayotte]","Galtier J, Julvez J, Michault A and Isautier H","Published paper"
"93","Programme to Eliminate Lymphatic Filariasis. Country Report WHO; MOZ0003_LF2009","Mozambique Ministry of Health","Report"
"94","Programme to Eliminate Lymphatic Filariasis. Country Report WHO; MOZ0004_LF2010","Mozambique Ministry of Health","Report"
"95","Programme to Eliminate Lymphatic Filariasis. Country Report WHO; NER0003_LF2007","Niger Ministry of Health","Report"
"96","Programme to Eliminate Lymphatic Filariasis. Country Report WHO; NER0009_LF2009","Niger Ministry of Health","Report"
"97","Programme to Eliminate Lymphatic Filariasis. Country Report WHO; NER0008_LF2008","Niger Ministry of Health","Report"
"98","Filariasis in Gongola State Nigeria. I: Clinical and parasitological studies in Mutum-Biyu District","Akogun OB","Published paper"
"99","Studies on filariasis in Bauchi State, Nigeria. II. The prevalence of human filariasis in Darazo Local Government area","Anosike JC and Onwuliri CO","Published paper"
"100","The status of human filariasis in north-western zone of Bauchi State, Nigeria","Anosike JC","Published paper"
"101","Bancroftian filariasis in the Igwun basin, Nigeria: an epidemiological, parasitological, and clinical study in relation to the transmission dynamics","Udonsi JK","Published paper"
"102","The status of human filariasis in relation to clinical signs in endemic areas of the Niger Delta","Udonsi JK","Published paper"
"103","The occurrence of loiasis, mansonellosis and wuchereriasis in the Jarawa River Valley, central Nigeria","Ufomadu GO, Nwoke BE, Akoh JI, Sato Y, Ekejindu GO, Uchida A, Shiwaku K, Tumbau M and Ugomo KK","Published paper"
"104","Programme to Eliminate Lymphatic Filariasis. Country Report WHO; NGA0004_LF2004","Nigeria Ministry of Health","Report"
"105","Programme to Eliminate Lymphatic Filariasis. Country Report WHO; NGA0007_LF2006","Nigeria Ministry of Health","Report"
"106","Programme to Eliminate Lymphatic Filariasis. Country Report WHO; NGA0011_LF2008","Nigeria Ministry of Health","Report"
"107","Programme to Eliminate Lymphatic Filariasis. Country Report WHO; NGA0013_LF2008","Nigeria Ministry of Health","Report"
"108","Programme to Eliminate Lymphatic Filariasis. Country Report WHO; NGA0015_LF2010","Nigeria Ministry of Health","Report"
"109","Programme to Eliminate Lymphatic Filariasis. Country Report WHO; NGA0014_LF2009","Nigeria Ministry of Health","Report"
"110","Programme to Eliminate Lymphatic Filariasis. Country Report WHO; NGA0016_LF2010","Nigeria Ministry of Health","Report"
"111","Lymphatic filariasis among the Ezza people of Ebonyi State, eastern Nigeria","Anosike JC, Nwoke BE, Ajayi EG, Onwuliri CO, Okoro OU, Oku EE, Asor JE, Amajuoyi OU, Ikpeama CA, Ogbusu FI and Meribe CO","Published paper"
"112","Human filariasis in Dass local government area of Bauchi state, Nigeria","Anosike JC, Onwuliri COE and Onwuliri VA","Published paper"
"113","Bancroftian filariasis among the Mbembe people of Cross River state, Nigeria","Okon OE, Iboh CI and Opara KN","Published paper"
"114","Prevalence Of Lymphatic Filariasis In Three Villages In Kano State, Nigeria.","Dogara MM, Nock HI, Agbede RIS, Ndams SI and Joseph KK","Published paper"
"115","Bancroftian Filariasis in Ushongo LGA of Benue state,Nigeria:clinical, parasitological and serological studies in an endemic community.","Targema CN, Onwuliri COE and Mwansat GS","Published paper"
"116","Clinical Epidemiology of lymphatic filariasis and community practices and perceptions amongst the Ado people of Benue State, Nigeria","Omudu EA and Ochoga JO","Published paper"
"117","Studies on the status of bancroftian filariasis in parts of Benue State, Nigeria","Targema CN","Published paper"
"118","Epidemiological and entomological evaluations after six years or more of mass drug administration for lymphatic filariasis elimination in Nigeria","Richards FO, Eigege A, Miri ES, Kal A, Umaru J, Pam D, Rakers LJ, Sambo Y, Danboyi J, Ibrahim B, Adelamo SE, Ogah G, Goshit D, Oyenekan OK, Mathieu E, Withers PC, Saka YA, Jiya J and Hopkins DR","Published paper"
"119","Lymphatic filariasis in a rural community in Nigeria: a challenge ahead","Ojurongbe O, Akinbo JA, Ogiogwa IJ, Bolaji OS and Adeyeba OA","Published paper"
"120","Analysis of Wuchereria bancrofti infections in a village community in northern Nigeria: increased prevalence in individuals infected with Onchocerca volvulus","Engelbrecht F, Oettl T, Herter U, Link C, Philipp D, Edeghere H, Kaliraj P and Enwezor F","Published paper"
"121","Evaluation of the diethylcarbamazine provocative test in the diagnosis of Wuchereria bancrofti infections in the Nigerian savanna and the effects on Dipetalonema perstans","Wijeyaratne PM, Singha P, Verma OP and Motha B","Published paper"
"122","Lymphatic filariasis among the Yakurr people of Cross River State, Nigeria","Iboh CI, Okon OE, Opara KN, Asor JE and Etim SE","Published paper"
"123","Prevalence of Bancroftian Filariasis among Edim Otop sub-urban dwellers in Calabar Municipality of Cross River state, Nigeria","Ekanem IA, Alaribe AAA and Ekanem AP","Published paper"
"124","Bancroftian filariasis in the Lower Imo River Basin, Nigeria.","Uttah EC, Simonsen PE, Pedersen EM and Udonsi JK","Published paper"
"125","Prevalence of endemic Bancroftian filariasis in the high altitude region of south-eastern Nigeria","Uttah EC","Published paper"
"126","Observations on Filaria Infection in Amassoma Community in the Niger Delta.","Agi PI and Ebenezer A","Published paper"
"127","Bancroftian Filariasis in the Niger Delta Area of Eastern Nigeria.","Ajero CMU, Nwoke BEB, Okolie NJC, Nwanjo HU and Oze Gea","Published paper"
"128","Epidemiological and biochemical studies of human lymphatic filariasis and associated parasitoses in Oguta, South-Eastern, Nigeria. ","Ojiako OA and Onyeze GOC","Published paper"
"129","Concurrent Parasitosis in an Onchocerciasis Endemic Community","Obi RK, Oyibo WA, Okangba CC, Nwanebu FC, Oparaocha ET, Orji NM and Ndubuisi-NNaji UU","Published paper"
"130","Rapid epidemiological and Socio-cultural appraisal of lymphatic filariasis amongst the Igede ethnic group in Benue State, Nigeria. ","Omudu EA and Okafor FC","Published paper"
"131","Endemicity of Lymphatic filariasis in three Local Government Areas of Imo State, Nigeria. ","Obi RK, Nwawnebu FC, Ndubuisi-NNaji UU, Okangba CC, Orji W, Ukegbu AD and Ukegbu PO","Published paper"
"132","Studies on the microfilaria, antigenemia and clinical signs of bancroftian filariasis in Epie creek communities, Niger Delta, Nigeria.","Ebenezer A, Amadi EC and Agi PI","Published paper"
"133","Programme to Eliminate Lymphatic Filariasis. Country Report WHO; SEN0001_LF2007","Senegal Ministry of Health","Report"
"134","Programme to Eliminate Lymphatic Filariasis. Country Report WHO; SLE0002_LF2007","Sierra Leone Ministry of Health","Report"
"135","Programme to Eliminate Lymphatic Filariasis. Country Report WHO; SLE0009_LF2008","Sierra Leone Ministry of Health","Report"
"136","Filariasis in the Kaiyamba Chiefdom, Moyamba District Sierra Leone: an epidemiological and clinical study","Gbakima AA and Sahr F","Published paper"
"137","Prospects of human malaria and Bancroftian filariasis infections in the Lower Rufiji Basin, Tanzania II. Bancroftian filariasis","Matola YG","Published paper"
"138","Studies on the transmission and prevalence of Bancroftian filariasis in four coastal villages of Tanzania","McMahon JE, Magayauka SA, Kolstrup N, Mosha FW, Bushrod FM, Abaru DE and Bryan JH","Published paper"
"139","Bancroftian filariasis: analysis of infection and disease in five endemic communities of north-eastern Tanzania","Meyrowitsch DW, Simonsen PE and Makunde WH","Published paper"
"140","Programme to Eliminate Lymphatic Filariasis. Country Report WHO; TZA0021_LF2008","Tanzania Ministry of Health","Report"
"141","Programme to Eliminate Lymphatic Filariasis. Country Report WHO; TZA0017_LF2006","Tanzania Ministry of Health","Report"
"142","Programme to Eliminate Lymphatic Filariasis. Country Report WHO; TZA0005_LF2004","Tanzania Ministry of Health","Report"
"143","Programme to Eliminate Lymphatic Filariasis. Country Report WHO; TZA0004_LF2003","Tanzania Ministry of Health","Report"
"144","Programme to Eliminate Lymphatic Filariasis. Country Report WHO; TZA0019_LF2002","Tanzania Ministry of Health","Report"
"145","Bancroftian filariasis: the pattern of microfilaraemia and clinical manifestations in three endemic communities of Northeastern Tanzania","Simonsen PE, Meyrowitsch DW, Makunde WH and Magnussen P","Published paper"
"146","Plasmodium falciparum and helminth coinfections among schoolchildren in relation to agro-ecosystems in Mvomero District, Tanzania","Mboera LE, Senkoro KP, Rumisha SF, Mayala BK, Shayo EH and Mlozi MR","Published paper"
"147","Lymphatic filariasis control in Tanzania: effect of repeated mass drug administration with ivermectin and albendazole on infection and transmission","Simonsen PE, Pedersen EM, Rwegoshora RT, Malecela MN, Derua YA and Magesa SM","Published paper"
"148","Association between mannose-binding lectin polymorphisms and Wuchereria bancrofti infection in two communities in North-Eastern Tanzania","Meyrowitsch DW, Simonsen PE, Garred P, Dalgaard M, Magesa SM and Alifrangis M","Published paper"
"149","Cross-sectional relationship between HIV, lymphatic filariasis and other parasitic infections in adults in coastal northeastern Tanzania","Nielsen NO, Simonsen PE, Magnussen P, Magesa S and Friis H","Published paper"
"150","Implication of diethylcarbamazine induced morbidity and the role of cellular responses associated with bancroftian filariasis pathologies","Makunde WH, Kamugisha ML, Makunde RA, Malecela-Lazaro MN and Kitua AY","Published paper"
"151","A 26-year follow-up of bancroftian filariasis in two communities in north-eastern Tanzania","Meyrowitsch DW, Simonsen PE and Magesa SM","Published paper"
"152","Filariasis elimination, Zanzibar","Organization WH","Report"
"153","Genital manifestations and reproductive health in female residents of a Wuchereria bancrofti-endemic area in Tanzania","Bernhard P, Makunde RW, Magnussen P and Lemnge MM","Published paper"
"154","Bancroftian filariasis on Pemba Island, Zanzibar, Tanzania: an update on the status in urban and semi-urban communities","Pedersen EM, Kilama WL, Swai AB, Kihamia CM, Rwiza H and Kisumku UM","Published paper"
"155","Control of Bancroftian filariasis by integrating therapy with vector control using polystyrene beads in wet pit latrines","Maxwell CA, Curtis CF, Haji H, Kisumku S, Thalib AI and Yahya SA","Published paper"
"156","Tanzania filariasis project: studies on microfilaraemia and selected clinical manifestations of Bancroftian filariasis","Abaru DE, McMahon JE, Marshall TF, Hamilton PJ, Vaughan JP and Wegesa P","Published paper"
"157","Clinical and parasitological aspects of Bancroftian filariasis in Hale, northeast Tanzania","Massaga JJ, Salum FM and Savael ZX","Published paper"
"158","Control measures against Bancroftian filariasis in coastal villages in Tanzania","Kolstrup N, McMahon JE, Magayuka SA, Mosha FW, Bushrod FM and Bryan JH","Published paper"
"159","Bancroftian filariasis: the patterns of filarial-specific immunoglobulin G1 (IgG1), IgG4, and circulating antigens in an endemic community of northeastern Tanzania","Simonsen PE, Lemnge MM, Msangeni HA, Jakobsen PH and Bygbjerg IC","Published paper"
"160","Acute adenolymphangitis due to bancroftian filariasis in Rufiji district, south east Tanzania","Gasarasi DB, Premji ZG, Mujinja PGM and Mpembeni R","Published paper"
"161","Programme to Eliminate Lymphatic Filariasis. Country Report WHO; BEN0012_LF2004","Benin Ministry of Health","Report"
"162","Lymphatic filariasis control in Tanzania: effect of six rounds of mass drug administration with ivermectin and albendazole on infection and transmission","Simonsen PE, Derua YA, Kisinza WN, Magesa SM, Malecela MN and Pedersen EM","Published paper"
"163","Current status of filarial infections in The Gambia","Knight R","Published paper"
"164","Programme to Eliminate Lymphatic Filariasis. Country Report WHO; TGO0010_LF2007","Togo Ministry of Health","Report"
"165","Programme to Eliminate Lymphatic Filariasis. Country Report WHO; TGO0003_LF2001","Togo Ministry of Health","Report"
"166","Programme to Eliminate Lymphatic Filariasis. Country Report WHO; TGO0017_LF2005","Togo Ministry of Health","Report"
"167","Programme to Eliminate Lymphatic Filariasis. Country Report WHO; TGO0016_LF2003","Togo Ministry of Health","Report"
"168","Programme to Eliminate Lymphatic Filariasis. Country Report WHO; TGO0013_LF2006","Togo Ministry of Health","Report"
"169","Programme to Eliminate Lymphatic Filariasis. Country Report WHO; TGO0014_LF2009","Togo Ministry of Health","Report"
"170","Programme to Eliminate Lymphatic Filariasis. Country Report WHO; TGO0015_LF2008","Togo Ministry of Health","Report"
