Library_ID,pop_id,Record_ID,CONTINENT,REGION,WHO_region,ISO_CTRY,ADM0,ADM0_ID,ADM1,ADM1_ID,ADM2,ADM2_ID,TypeSite,Site_name,Precision,Latitude,Longitude,PoT,Coverage,Trial,TimePeriod,Year_start,Year_end,N_rounds,Method_0,LF_species,Sex,Age_Range,Age_start,Age_end,Author,Source,Year,Approval,Reference,Blood_volu_Any_clinic,Blood_volu_Blood_smear,Blood_volu_Brugia_Rapid,Blood_volu_Chamber,Blood_volu_ELISA,Blood_volu_Filtration,Blood_volu_Hydrocele,Blood_volu_ICT,Blood_volu_IFI,Blood_volu_Knott,Blood_volu_Lymphedema,Blood_volu_New_rapid_test,Blood_volu_PCR,prev_Any_clinic,prev_Blood_smear,prev_Brugia_Rapid,prev_Chamber,prev_ELISA,prev_Filtration,prev_Hydrocele,prev_ICT,prev_IFI,prev_Knott,prev_Lymphedema,prev_New_rapid_test,prev_PCR,density_Any_clinic,density_Blood_smear,density_Brugia_Rapid,density_Chamber,density_ELISA,density_Filtration,density_Hydrocele,density_ICT,density_IFI,density_Knott,density_Lymphedema,density_New_rapid_test,density_PCR,pop_Any_clinic,pop_Blood_smear,pop_Brugia_Rapid,pop_Chamber,pop_ELISA,pop_Filtration,pop_Hydrocele,pop_ICT,pop_IFI,pop_Knott,pop_Lymphedema,pop_New_rapid_test,pop_PCR,np_Any_clinic,np_Blood_smear,np_Brugia_Rapid,np_Chamber,np_ELISA,np_Filtration,np_Hydrocele,np_ICT,np_IFI,np_Knott,np_Lymphedema,np_New_rapid_test,np_PCR,diagnostics,num_diagnostics,specificity,Comments,ICT_test,unextracted_data,Blood_volu_Others,prev_Others,density_Others,pop_Others,np_Others,object_ids
BRA0005LF,3721,LF4472BR,Americas,South America,AMRO,BR,Brazil,37,Pernambuco,681,Recife,9621,Location,Olinda,1,-7.99121,-34.85503,Preintervention,No,No,1990-2000,1999,1999,0,Mapping survey,Wuchereria bancrofti,Both,Adults/Children,5,65,"Braga C, Dourado MI, Ximenes RA, Alves L, Brayner F, Rocha A and Alexander N",Published paper,2003,Yes,Field evaluation of the whole blood immunochromatographic test for rapid bancroftian filariasis diagnosis in the northeast of Brazil,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0.068,NA,NA,NA,NA,NA,0.317,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,625,NA,NA,NA,NA,NA,625,NA,NA,NA,NA,NA,NA,38,NA,NA,NA,NA,NA,198,NA,NA,NA,NA,NA,Blood_smear + ICT,2,age + location,valid,AMRAD_ICT,NA,NA,NA,NA,NA,NA,NA
BRA0008LF,3726,LF4477BR,Americas,South America,AMRO,BR,Brazil,37,Pernambuco,681,Recife,9621,Location,Olinda,1,-7.99121,-34.85503,Preintervention,No,No,2000-2010,1999,2000,0,Mapping survey,Wuchereria bancrofti,Both,Children,9,16,"Braga C, Dourado I, Ximenes R, Miranda J and Alexander N",Published paper,2005,Yes,Bancroftian filariasis in an endemic area of Brazil: differences between genders during puberty,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0.069,NA,NA,NA,NA,NA,0.257,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,1130,NA,NA,NA,NA,NA,790,NA,NA,NA,NA,NA,NA,78,NA,NA,NA,NA,NA,203,NA,NA,NA,NA,NA,Blood_smear + ICT,2,age,valid,AMRAD_ICT,NA,NA,NA,NA,NA,NA,NA
BRA0015LF,8746,LF10443BR,Americas,South America,AMRO,BR,Brazil,37,Pernambuco,681,Recife,9621,Municipality,Olinda,1,-7.99121,-34.85503,Preintervention,No,No,2000-2010,2007,2010,0,Mapping survey,Wuchereria bancrofti,Both,Children,4,15,"Oliveira P, Braga C, Alexander N, Brandao E, Silva A, Wanderley L, Aguiar AM, Diniz G, Medeiros Z and Rocha A",Published paper,2014,Yes,Evaluation of diagnostic tests for Wuchereria bancrofti infection in Brazilian schoolchildren,NA,60,NA,NA,7000,7000,NA,100,NA,NA,NA,NA,NA,NA,0.031,NA,NA,0.174,0.052,NA,0.146,NA,NA,NA,NA,NA,NA,1.39,NA,NA,0,0,NA,0,NA,NA,NA,NA,NA,NA,776,NA,NA,543,519,NA,796,NA,NA,NA,NA,NA,NA,24,NA,NA,94,27,NA,116,NA,NA,NA,NA,NA,Blood_smear + Filtration + ICT + ELISA,4,Total,valid,NA,NA,NA,NA,NA,NA,NA,NA
CIV0004LF,663,LF1012CI,Africa,Western Africa,AFRO/EMRO,CI,Cote d'Ivoire,66,Bas Sassandra,1040,Sassandra,0,Location,Kokolopozo,1,5.1333,-6.0833,Postintervention,Country,No,2000-2010,2009,2009,1,SS/Spot,Wuchereria bancrofti,Both,Adults/Children,0,99,Cote d'Ivoire Ministry of Health,Report,2009,No,Programme to Eliminate Lymphatic Filariasis. Country Report WHO; CIV0003_LF2009,NA,60,NA,NA,NA,NA,0,100,NA,NA,0,NA,NA,NA,0.019,NA,NA,NA,NA,0,0.012,NA,NA,0.013,NA,NA,NA,0,NA,NA,NA,NA,0,0,NA,NA,0,NA,NA,NA,309,NA,NA,NA,NA,0,78,NA,NA,159,NA,NA,NA,6,NA,NA,NA,NA,0,1,NA,NA,2,NA,NA,Blood_smear + ICT + Hydrocele + Lymphedema,4,age + location + year + MDA round + Pre/Post Intervention,,NA,NA,NA,NA,NA,NA,NA,1749 + 1750 + 1751 + 1752
CIV0004LF,674,LF1023CI,Africa,Western Africa,AFRO/EMRO,CI,Cote d'Ivoire,66,Bas Sassandra,1040,Soubr??,0,Location,Mahi??oua,1,6.202028,-6.454729,Postintervention,Country,No,2000-2010,2009,2009,1,SS/Spot,Wuchereria bancrofti,Both,Adults/Children,0,99,Cote d'Ivoire Ministry of Health,Report,2009,No,Programme to Eliminate Lymphatic Filariasis. Country Report WHO; CIV0003_LF2009,NA,60,NA,NA,NA,NA,0,100,NA,NA,0,NA,NA,NA,0.025,NA,NA,NA,NA,0.011,0.169,NA,NA,0.022,NA,NA,NA,0,NA,NA,NA,NA,0,0,NA,NA,0,NA,NA,NA,242,NA,NA,NA,NA,92,77,NA,NA,92,NA,NA,NA,6,NA,NA,NA,NA,1,13,NA,NA,2,NA,NA,Blood_smear + ICT + Hydrocele + Lymphedema,4,age + location + year + MDA round + Pre/Post Intervention,,NA,NA,NA,NA,NA,NA,NA,1763 + 1764 + 1765 + 1766
CIV0004LF,636,LF983CI,Africa,Western Africa,AFRO/EMRO,CI,Cote d'Ivoire,66,Bas Sassandra,1040,Tabou,0,Location,B??ou??,1,4.55,-7.366667,Postintervention,Country,No,2000-2010,2009,2009,1,SS/Spot,Wuchereria bancrofti,Both,Adults/Children,0,99,Cote d'Ivoire Ministry of Health,Report,2009,No,Programme to Eliminate Lymphatic Filariasis. Country Report WHO; CIV0003_LF2009,NA,60,NA,NA,NA,NA,0,100,NA,NA,0,NA,NA,NA,0.012,NA,NA,NA,NA,0.004,0.173,NA,NA,0.004,NA,NA,NA,0,NA,NA,NA,NA,0,0,NA,NA,0,NA,NA,NA,243,NA,NA,NA,NA,243,75,NA,NA,243,NA,NA,NA,3,NA,NA,NA,NA,1,13,NA,NA,1,NA,NA,Blood_smear + ICT + Hydrocele + Lymphedema,4,age + location + year + MDA round + Pre/Post Intervention,,NA,NA,NA,NA,NA,NA,NA,1719 + 1720 + 1721 + 1722
COG0001LF,8745,LF10442CG,Africa,Middle Africa,AFRO/EMRO,CG,Congo,59,Bouenza,970,Madingou,14425,Location,Seke Pembe,1,-4.00611,13.63056,Preintervention,No,No,2010-on,2012,2012,0,Mapping survey,Wuchereria bancrofti,Both,Adults/Children,5,99,"Chesnais CB, Missamou F, Pion SD, Bopda J, Louya F, Majewski AC, Fischer PU, Weil GJ and Boussinesq M ",Published paper,2014,Yes,A case study of risk factors for lymphatic filariasis in the Republic of Congo,NA,70,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA,NA,0.053,NA,NA,NA,NA,NA,0.173,NA,NA,NA,NA,NA,NA,0.32,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,774,NA,NA,NA,NA,NA,774,NA,NA,NA,NA,NA,NA,41,NA,NA,NA,NA,NA,134,NA,NA,NA,NA,NA,Blood_smear + ICT,2,Total,valid,Binax Filariasis Now,NA,NA,NA,NA,NA,NA,NA
COG0002LF,8860,LF10565CG,Africa,Middle Africa,AFRO/EMRO,CG,Congo,59,Bouenza,970,Madingou,14425,Location,Seke Pembe,1,-4.00611,13.63056,Postintervention,Local,Yes,2010-on,2013,2013,2,SS/Spot,Wuchereria bancrofti,Both,Adults/Children,5,99,"Pion SD, Chesnais CB, Bopda J, Louya F, Fischer PU, Majewski AC, Weil GJ, Boussinesq M and Missamou F ",Published paper,2015,Yes,The impact of two semiannual treatments with albendazole alone on lymphatic filariasis and soil-transmitted helminth infections: a community-based study in the Republic of Congo,NA,70,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA,NA,0.042,NA,NA,NA,NA,NA,0.166,NA,NA,NA,NA,NA,NA,0.2,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,741,NA,NA,NA,NA,NA,741,NA,NA,NA,NA,NA,NA,31,NA,NA,NA,NA,NA,123,NA,NA,NA,NA,NA,Blood_smear + ICT,2,Total,valid,Binax Filariasis Now,1,NA,NA,NA,NA,NA,NA
EGY0005LF,1539,LF1662EG,Africa,Northern Africa,AFRO/EMRO,EG,Egypt,40765,Ash Sharqiyah (sharkia),1172,Administrative unit not available,15554,Location,Kafr Tahoria,3,30.357851,31.321922,Preintervention,No,No,1990-2000,1993,1993,0,Mapping survey,Wuchereria bancrofti,Both,Adults/Children,10,99,"Faris R, Ramzy RM, Gad AM, Weil GJ and Buck AA",Published paper,1993,Yes,Community diagnosis of Bancroftian filariasis,0,50,NA,NA,NA,1000,NA,50,NA,NA,NA,NA,NA,0.07,0.222,NA,NA,NA,0.286,NA,0.393,NA,NA,NA,NA,NA,0,0,NA,NA,NA,0,NA,0,NA,NA,NA,NA,NA,427,427,NA,NA,NA,427,NA,427,NA,NA,NA,NA,NA,30,95,NA,NA,NA,122,NA,168,NA,NA,NA,NA,NA,Blood_smear + Filtration + ICT + Any_clinic,4,Total,valid,NA,NA,NA,NA,NA,NA,NA,NA
EGY0008LF,1498,LF1620EG,Africa,Northern Africa,AFRO/EMRO,EG,Egypt,40765,Al Qalyubiyah (kalyoubia),1168,Administrative unit not available,15550,Location,El Qalzam,2,30.363925,31.312663,Preintervention,No,No,1990-2000,1995,1999,0,Mapping survey,Wuchereria bancrofti,Both,Adults/Children,10,99,"Ramzy RM, Helmy H, el-Lethy AS, Kandil AM, Ahmed ES, Weil GJ and Faris R",Published paper,1999,Yes,Field evaluation of a rapid-format kit for the diagnosis of bancroftian filariasis in Egypt,NA,50,NA,NA,300,300,NA,100,NA,NA,NA,NA,NA,NA,0.01,NA,NA,0.054,0.02,NA,0.083,NA,NA,NA,NA,NA,NA,0,NA,NA,0,0,NA,0,NA,NA,NA,NA,NA,NA,630,NA,NA,630,630,NA,630,NA,NA,NA,NA,NA,NA,6,NA,NA,34,11,NA,52,NA,NA,NA,NA,NA,Blood_smear + Filtration + ICT + ELISA,4,location,valid,AMRAD_ICT,NA,NA,NA,NA,NA,NA,NA
EGY0008LF,1499,LF1621EG,Africa,Northern Africa,AFRO/EMRO,EG,Egypt,40765,Dumyat (damietta),1177,Administrative unit not available,15559,Location,Kafr Saad,2,31.34737,31.601732,Preintervention,No,No,1990-2000,1995,1999,0,Mapping survey,Wuchereria bancrofti,Both,Adults/Children,10,99,"Ramzy RM, Helmy H, el-Lethy AS, Kandil AM, Ahmed ES, Weil GJ and Faris R",Published paper,1999,Yes,Field evaluation of a rapid-format kit for the diagnosis of bancroftian filariasis in Egypt,NA,50,NA,NA,300,300,NA,100,NA,NA,NA,NA,NA,NA,0.007,NA,NA,0.172,0.02,NA,0.007,NA,NA,NA,NA,NA,NA,0,NA,NA,0,0,NA,0,NA,NA,NA,NA,NA,NA,151,NA,NA,151,151,NA,151,NA,NA,NA,NA,NA,NA,1,NA,NA,26,3,NA,1,NA,NA,NA,NA,NA,Blood_smear + Filtration + ICT + ELISA,4,location,valid,AMRAD_ICT,NA,NA,NA,NA,NA,NA,NA
EGY0008LF,1500,LF1622EG,Africa,Northern Africa,AFRO/EMRO,EG,Egypt,40765,Ash Sharqiyah (sharkia),1172,Administrative unit not available,15554,Location,Kafr Tahoria,3,30.357851,31.321922,Preintervention,No,No,1990-2000,1995,1999,0,Mapping survey,Wuchereria bancrofti,Both,Adults/Children,10,99,"Ramzy RM, Helmy H, el-Lethy AS, Kandil AM, Ahmed ES, Weil GJ and Faris R",Published paper,1999,Yes,Field evaluation of a rapid-format kit for the diagnosis of bancroftian filariasis in Egypt,NA,50,NA,NA,300,300,NA,100,NA,NA,NA,NA,NA,NA,0.036,NA,NA,0.075,0.04,NA,0.081,NA,NA,NA,NA,NA,NA,0,NA,NA,0,0,NA,0,NA,NA,NA,NA,NA,NA,851,NA,NA,851,851,NA,851,NA,NA,NA,NA,NA,NA,31,NA,NA,64,33,NA,69,NA,NA,NA,NA,NA,Blood_smear + Filtration + ICT + ELISA,4,location,valid,AMRAD_ICT,NA,NA,NA,NA,NA,NA,NA
EGY0008LF,1501,LF1623EG,Africa,Northern Africa,AFRO/EMRO,EG,Egypt,40765,Ash Sharqiyah (sharkia),1172,Administrative unit not available,15554,Location,Tahoria,3,30.357851,31.321922,Preintervention,No,No,1990-2000,1995,1999,0,Mapping survey,Wuchereria bancrofti,Both,Adults/Children,10,99,"Ramzy RM, Helmy H, el-Lethy AS, Kandil AM, Ahmed ES, Weil GJ and Faris R",Published paper,1999,Yes,Field evaluation of a rapid-format kit for the diagnosis of bancroftian filariasis in Egypt,NA,50,NA,NA,300,300,NA,100,NA,NA,NA,NA,NA,NA,0.072,NA,NA,0.193,0.09,NA,0.171,NA,NA,NA,NA,NA,NA,0,NA,NA,0,0,NA,0,NA,NA,NA,NA,NA,NA,181,NA,NA,181,181,NA,181,NA,NA,NA,NA,NA,NA,13,NA,NA,35,17,NA,31,NA,NA,NA,NA,NA,Blood_smear + Filtration + ICT + ELISA,4,location,valid,AMRAD_ICT,NA,NA,NA,NA,NA,NA,NA
EGY0010LF,1382,LF1500EG,Africa,Northern Africa,AFRO/EMRO,EG,Egypt,40765,Al Gharbiyah (gharbia),1162,Administrative unit not available,15544,Area,Azizia,2,30.847838,31.203795,Postintervention,Country,No,2000-2010,2005,2005,5,SS/Spot,Wuchereria bancrofti,Both,Adults/Children,0,0,"Ramzy RM, El Setouhy M, Helmy H, Ahmed ES, Abd Elaziz KM, Farid HA, Shannon WD and Weil GJ",Published paper,2006,Yes,Effect of yearly mass drug administration with diethylcarbamazine and albendazole on bancroftian filariasis in Egypt: a comprehensive assessment,NA,50,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA,NA,0.012,NA,NA,NA,NA,NA,0.048,NA,NA,NA,NA,NA,NA,0.05,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,1064,NA,NA,NA,NA,NA,1064,NA,NA,NA,NA,NA,NA,13,NA,NA,NA,NA,NA,51,NA,NA,NA,NA,NA,Blood_smear + ICT,2,age + location + year + MDA round + Pre/Post Intervention,valid,Binax Filariasis Now,NA,NA,NA,NA,NA,NA,NA
EGY0010LF,1383,LF1501EG,Africa,Northern Africa,AFRO/EMRO,EG,Egypt,40765,Ash Sharqiyah (sharkia),1172,Administrative unit not available,15554,Area,Tahoria/Kafr Tahoria,3,30.357851,31.321922,Postintervention,Country,No,2000-2010,2005,2005,5,SS/Spot,Wuchereria bancrofti,Both,Adults/Children,0,0,"Ramzy RM, El Setouhy M, Helmy H, Ahmed ES, Abd Elaziz KM, Farid HA, Shannon WD and Weil GJ",Published paper,2006,Yes,Effect of yearly mass drug administration with diethylcarbamazine and albendazole on bancroftian filariasis in Egypt: a comprehensive assessment,NA,50,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0.031,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,764,NA,NA,NA,NA,NA,764,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,24,NA,NA,NA,NA,NA,Blood_smear + ICT,2,age + location + year + MDA round + Pre/Post Intervention,valid,Binax Filariasis Now,NA,NA,NA,NA,NA,NA,NA
