specificity,file_path,row_num,row_id,field_citation,field_iso3,parent_id,input_type,modelable_entity_id,modelable_entity_name,underlying_nid,underlying_field_citation_value,page_num,table_num,source_type,location_name,location_name_2,location_id_2,location flag,location_id,ihme_loc_id,smaller_site_unit,site_memo,representative_name,urbanicity_type,recall_type,recall_type_value,sampling_type,lat,long,latlong_source+S:Z,location type,geo_accuracy,geo_precision,shape_type,poly_type,buffer_radius,poly_reference,poly_id,poly_id_field_name,site_notes,sex,sex_issue,year_start,month_start,year_end,month_end,year_accuracy,year_issue,age_start,age_end,age_issue,age_demographer,measure,range_only,range_lower,range_upper,mean,lower,upper,standard_error,effective_sample_size,cases,sample_size,mf_density_pos,mf_density_tot,density issue,density notes,design_effect,unit_type,unit_value_as_published,measure_issue,measure_adjustment,uncertainty_type,uncertainty_type_value,response_rate,case_name,case_definition,case_diagnostics,filarial species,vector Culex,vector Anopheles,vector Aedes,vector Mansonia,dominant vector,group,unique,group_review,note_modeler,note_SR,Exclude,extractor,is_outlier,data_sheet_filepath,cv_TxNum,cv_TxPerc,COMMENTS,cv_MDAbase,cv_MDAend,cv_MDAschool,n_rounds,cv_SS,cv_spotcheck,cv_LQAS,cv_mapping_survey,cv_ICT,cv_blood_smear,cv_filter,cv_Og4C3,cv_oth_diag,cv_vector control,cv_OtherIntervention1,cv_OtherIntervention2,InterventionType,cv_Slum,CityName,cv_Pregnant,cv_Indigenous,GroupName,cv_DxType,cv_NumStools,cv_DxConcentration,loc_id,title,nid,diag_BS,diag_ICT,diag_ELISA_Ab,diag_ELISA_Ag,diag_other,V2,Comments_KK
age,J:\Project\NTDS\data\LF\Exctracted PDFs\Jaoko_Immunoepidemiology_W_Bancrofti_East_Africa.pdf,1342,58,"#*#Author#*#Jaoko WG, Michael E, Meyrowitsch DW, Estambale BBA, Malecela MN, Simonsen PE. #*#Title#*#Immunoepidemiology of Wuchereria bancrofti infection: parasite transmission intensity, filaria-specific antibodies, and host immunity in two East African communities. #*#Journal#*#Infect. Immun. #*#Date#*#2007 Dec;#*#Volume#*#75(12)#*#Pages#*#:5651–62.",TZA,NA,NA,1491,Prevalence of detectable microfiliaria due to lymphatic filariasis,NA,NA,,,Survey - cross-sectional,Tanzania|TZA,,NA,NA,189,TZA,1,Masaika,Representative for subnational location only,Rural,Point,NA,,-5.2757087,38.8483718,OpenStreetMap,village,0,0,point,,NA,,NA,,,Both,NA,2005,,2005,,0,NA,30,39,0,1,prevalence,NA,NA,NA,NA,NA,NA,NA,NA,34,120,NA,NA,NA,,NA,person,1,NA,NA,NA,NA,NA,persons showing microfilariae,microfilariae in the blood,microfilariae in 100 cmm sample,Wuchereria bancrofti,NA,NA,NA,NA,,189,189.1,NA,NA,"Study year not specified. The same author published data from the same locations in 2006, so I am assuming the study year to be 2005. ",NA,cserway,0,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,counting chamber technique,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,189,"Immunoepidemiology of Wuchereria bancrofti infection: parasite transmission intensity, filaria-specific antibodies, and host immunity in two East African communities",288847,NA,NA,0,NA,1,2,
age,J:\Project\NTDS\data\LF\Exctracted PDFs\Jaoko_Immunoepidemiology_W_Bancrofti_East_Africa.pdf,1343,58,"#*#Author#*#Jaoko WG, Michael E, Meyrowitsch DW, Estambale BBA, Malecela MN, Simonsen PE. #*#Title#*#Immunoepidemiology of Wuchereria bancrofti infection: parasite transmission intensity, filaria-specific antibodies, and host immunity in two East African communities. #*#Journal#*#Infect. Immun. #*#Date#*#2007 Dec;#*#Volume#*#75(12)#*#Pages#*#:5651–62.",TZA,NA,NA,1491,Prevalence of detectable microfiliaria due to lymphatic filariasis,NA,NA,,,Survey - cross-sectional,Tanzania|TZA,,NA,NA,189,TZA,1,Masaika,Representative for subnational location only,Rural,Point,NA,,-5.2757087,38.8483718,OpenStreetMap,village,0,0,point,,NA,,NA,,,Both,NA,2005,,2005,,0,NA,30,39,0,1,prevalence,NA,NA,NA,NA,NA,NA,NA,NA,74,120,NA,NA,NA,,NA,person,1,NA,NA,NA,NA,NA,antigenaemia,CFA in blood,blood specimens positive for CFA by ELISA,Wuchereria bancrofti,NA,NA,NA,NA,,189,189.2,NA,NA,"Study year not specified. The same author published data from the same locations in 2006, so I am assuming the study year to be 2005. ",NA,cserway,0,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,189,"Immunoepidemiology of Wuchereria bancrofti infection: parasite transmission intensity, filaria-specific antibodies, and host immunity in two East African communities",288847,NA,0,0,1,0,2,
age,J:\Project\NTDS\data\LF\Exctracted PDFs\Jaoko_Immunoepidemiology_W_Bancrofti_East_Africa.pdf,1344,58,"#*#Author#*#Jaoko WG, Michael E, Meyrowitsch DW, Estambale BBA, Malecela MN, Simonsen PE. #*#Title#*#Immunoepidemiology of Wuchereria bancrofti infection: parasite transmission intensity, filaria-specific antibodies, and host immunity in two East African communities. #*#Journal#*#Infect. Immun. #*#Date#*#2007 Dec;#*#Volume#*#75(12)#*#Pages#*#:5651–62.",TZA,NA,NA,1491,Prevalence of detectable microfiliaria due to lymphatic filariasis,NA,NA,,,Survey - cross-sectional,Tanzania|TZA,,NA,NA,189,TZA,1,Masaika,Representative for subnational location only,Rural,Point,NA,,-5.2757087,38.8483718,OpenStreetMap,village,0,0,point,,NA,,NA,,,Both,NA,2005,,2005,,0,NA,40,49,0,1,prevalence,NA,NA,NA,NA,NA,NA,NA,NA,27,74,NA,NA,NA,,NA,person,1,NA,NA,NA,NA,NA,persons showing microfilariae,microfilariae in the blood,microfilariae in 100 cmm sample,Wuchereria bancrofti,NA,NA,NA,NA,,189,189.1,NA,NA,"Study year not specified. The same author published data from the same locations in 2006, so I am assuming the study year to be 2005. ",NA,cserway,0,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,counting chamber technique,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,189,"Immunoepidemiology of Wuchereria bancrofti infection: parasite transmission intensity, filaria-specific antibodies, and host immunity in two East African communities",288847,NA,NA,0,NA,1,2,
age,J:\Project\NTDS\data\LF\Exctracted PDFs\Jaoko_Immunoepidemiology_W_Bancrofti_East_Africa.pdf,1345,58,"#*#Author#*#Jaoko WG, Michael E, Meyrowitsch DW, Estambale BBA, Malecela MN, Simonsen PE. #*#Title#*#Immunoepidemiology of Wuchereria bancrofti infection: parasite transmission intensity, filaria-specific antibodies, and host immunity in two East African communities. #*#Journal#*#Infect. Immun. #*#Date#*#2007 Dec;#*#Volume#*#75(12)#*#Pages#*#:5651–62.",TZA,NA,NA,1491,Prevalence of detectable microfiliaria due to lymphatic filariasis,NA,NA,,,Survey - cross-sectional,Tanzania|TZA,,NA,NA,189,TZA,1,Masaika,Representative for subnational location only,Rural,Point,NA,,-5.2757087,38.8483718,OpenStreetMap,village,0,0,point,,NA,,NA,,,Both,NA,2005,,2005,,0,NA,40,49,0,1,prevalence,NA,NA,NA,NA,NA,NA,NA,NA,53,74,NA,NA,NA,,NA,person,1,NA,NA,NA,NA,NA,antigenaemia,CFA in blood,blood specimens positive for CFA by ELISA,Wuchereria bancrofti,NA,NA,NA,NA,,189,189.2,NA,NA,"Study year not specified. The same author published data from the same locations in 2006, so I am assuming the study year to be 2005. ",NA,cserway,0,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,189,"Immunoepidemiology of Wuchereria bancrofti infection: parasite transmission intensity, filaria-specific antibodies, and host immunity in two East African communities",288847,NA,0,0,1,0,2,
age,J:\Project\NTDS\data\LF\Exctracted PDFs\Jaoko_Immunoepidemiology_W_Bancrofti_East_Africa.pdf,1346,58,"#*#Author#*#Jaoko WG, Michael E, Meyrowitsch DW, Estambale BBA, Malecela MN, Simonsen PE. #*#Title#*#Immunoepidemiology of Wuchereria bancrofti infection: parasite transmission intensity, filaria-specific antibodies, and host immunity in two East African communities. #*#Journal#*#Infect. Immun. #*#Date#*#2007 Dec;#*#Volume#*#75(12)#*#Pages#*#:5651–62.",TZA,NA,NA,1491,Prevalence of detectable microfiliaria due to lymphatic filariasis,NA,NA,,,Survey - cross-sectional,Tanzania|TZA,,NA,NA,189,TZA,1,Masaika,Representative for subnational location only,Rural,Point,NA,,-5.2757087,38.8483718,OpenStreetMap,village,0,0,point,,NA,,NA,,,Both,NA,2005,,2005,,0,NA,50,59,0,1,prevalence,NA,NA,NA,NA,NA,NA,NA,NA,19,41,NA,NA,NA,,NA,person,1,NA,NA,NA,NA,NA,persons showing microfilariae,microfilariae in the blood,microfilariae in 100 cmm sample,Wuchereria bancrofti,NA,NA,NA,NA,,189,189.1,NA,NA,"Study year not specified. The same author published data from the same locations in 2006, so I am assuming the study year to be 2005. ",NA,cserway,0,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,counting chamber technique,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,189,"Immunoepidemiology of Wuchereria bancrofti infection: parasite transmission intensity, filaria-specific antibodies, and host immunity in two East African communities",288847,NA,NA,0,NA,1,2,
age,J:\Project\NTDS\data\LF\Exctracted PDFs\Jaoko_Immunoepidemiology_W_Bancrofti_East_Africa.pdf,1347,58,"#*#Author#*#Jaoko WG, Michael E, Meyrowitsch DW, Estambale BBA, Malecela MN, Simonsen PE. #*#Title#*#Immunoepidemiology of Wuchereria bancrofti infection: parasite transmission intensity, filaria-specific antibodies, and host immunity in two East African communities. #*#Journal#*#Infect. Immun. #*#Date#*#2007 Dec;#*#Volume#*#75(12)#*#Pages#*#:5651–62.",TZA,NA,NA,1491,Prevalence of detectable microfiliaria due to lymphatic filariasis,NA,NA,,,Survey - cross-sectional,Tanzania|TZA,,NA,NA,189,TZA,1,Masaika,Representative for subnational location only,Rural,Point,NA,,-5.2757087,38.8483718,OpenStreetMap,village,0,0,point,,NA,,NA,,,Both,NA,2005,,2005,,0,NA,50,59,0,1,prevalence,NA,NA,NA,NA,NA,NA,NA,NA,32,41,NA,NA,NA,,NA,person,1,NA,NA,NA,NA,NA,antigenaemia,CFA in blood,blood specimens positive for CFA by ELISA,Wuchereria bancrofti,NA,NA,NA,NA,,189,189.2,NA,NA,"Study year not specified. The same author published data from the same locations in 2006, so I am assuming the study year to be 2005. ",NA,cserway,0,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,189,"Immunoepidemiology of Wuchereria bancrofti infection: parasite transmission intensity, filaria-specific antibodies, and host immunity in two East African communities",288847,NA,0,0,1,0,2,
age,J:\Project\NTDS\data\LF\Exctracted PDFs\Jaoko_Immunoepidemiology_W_Bancrofti_East_Africa.pdf,1348,58,"#*#Author#*#Jaoko WG, Michael E, Meyrowitsch DW, Estambale BBA, Malecela MN, Simonsen PE. #*#Title#*#Immunoepidemiology of Wuchereria bancrofti infection: parasite transmission intensity, filaria-specific antibodies, and host immunity in two East African communities. #*#Journal#*#Infect. Immun. #*#Date#*#2007 Dec;#*#Volume#*#75(12)#*#Pages#*#:5651–62.",TZA,NA,NA,1491,Prevalence of detectable microfiliaria due to lymphatic filariasis,NA,NA,,,Survey - cross-sectional,Tanzania|TZA,,NA,NA,189,TZA,1,Masaika,Representative for subnational location only,Rural,Point,NA,,-5.2757087,38.8483718,OpenStreetMap,village,0,0,point,,NA,,NA,,,Both,NA,2005,,2005,,0,NA,60,99,1,1,prevalence,NA,NA,NA,NA,NA,NA,NA,NA,30,69,NA,NA,NA,,NA,person,1,NA,NA,NA,NA,NA,persons showing microfilariae,microfilariae in the blood,microfilariae in 100 cmm sample,Wuchereria bancrofti,NA,NA,NA,NA,,189,189.1,NA,NA,"Upper age limit not given. Study year not specified. The same author published data from the same locations in 2006, so I am assuming the study year to be 2005. ",NA,cserway,0,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,counting chamber technique,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,189,"Immunoepidemiology of Wuchereria bancrofti infection: parasite transmission intensity, filaria-specific antibodies, and host immunity in two East African communities",288847,NA,NA,0,NA,1,2,
age,J:\Project\NTDS\data\LF\Exctracted PDFs\Jaoko_Immunoepidemiology_W_Bancrofti_East_Africa.pdf,1349,58,"#*#Author#*#Jaoko WG, Michael E, Meyrowitsch DW, Estambale BBA, Malecela MN, Simonsen PE. #*#Title#*#Immunoepidemiology of Wuchereria bancrofti infection: parasite transmission intensity, filaria-specific antibodies, and host immunity in two East African communities. #*#Journal#*#Infect. Immun. #*#Date#*#2007 Dec;#*#Volume#*#75(12)#*#Pages#*#:5651–62.",TZA,NA,NA,1491,Prevalence of detectable microfiliaria due to lymphatic filariasis,NA,NA,,,Survey - cross-sectional,Tanzania|TZA,,NA,NA,189,TZA,1,Masaika,Representative for subnational location only,Rural,Point,NA,,-5.2757087,38.8483718,OpenStreetMap,village,0,0,point,,NA,,NA,,,Both,NA,2005,,2005,,0,NA,60,99,1,1,prevalence,NA,NA,NA,NA,NA,NA,NA,NA,47,69,NA,NA,NA,,NA,person,1,NA,NA,NA,NA,NA,antigenaemia,CFA in blood,blood specimens positive for CFA by ELISA,Wuchereria bancrofti,NA,NA,NA,NA,,189,189.2,NA,NA,"Upper age limit not given. Study year not specified. The same author published data from the same locations in 2006, so I am assuming the study year to be 2005. ",NA,cserway,0,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,189,"Immunoepidemiology of Wuchereria bancrofti infection: parasite transmission intensity, filaria-specific antibodies, and host immunity in two East African communities",288847,NA,0,0,1,0,2,
age,J:\Project\NTDS\data\LF\Exctracted PDFs\Jaoko_Immunoepidemiology_W_Bancrofti_East_Africa.pdf,1350,59,"#*#Author#*#Jaoko WG, Michael E, Meyrowitsch DW, Estambale BBA, Malecela MN, Simonsen PE. #*#Title#*#Immunoepidemiology of Wuchereria bancrofti infection: parasite transmission intensity, filaria-specific antibodies, and host immunity in two East African communities. #*#Journal#*#Infect. Immun. #*#Date#*#2007 Dec;#*#Volume#*#75(12)#*#Pages#*#:5651–62.",KEN,NA,NA,1491,Prevalence of detectable microfiliaria due to lymphatic filariasis,NA,NA,,,Survey - cross-sectional,Kwale|KEN_35635,,NA,NA,35635,KEN_35635,1,Kingwede,Representative for subnational location only,Rural,Point,NA,,-4.4919841,39.4572678,OpenStreetMap,village,0,0,point,,NA,,NA,,,Both,NA,2005,,2005,,0,NA,1,4,0,1,prevalence,NA,NA,NA,NA,NA,NA,NA,NA,0,105,NA,NA,NA,,NA,person,1,NA,NA,NA,NA,NA,persons showing microfilariae,microfilariae in the blood,microfilariae in 100 cmm sample,Wuchereria bancrofti,NA,NA,NA,NA,,190,189.1,NA,NA,"Study year not specified. The same author published data from the same locations in 2006, so I am assuming the study year to be 2005. ",NA,cserway,0,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,counting chamber technique,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35635,"Immunoepidemiology of Wuchereria bancrofti infection: parasite transmission intensity, filaria-specific antibodies, and host immunity in two East African communities",288847,NA,NA,0,NA,1,2,
age,J:\Project\NTDS\data\LF\Exctracted PDFs\Jaoko_Immunoepidemiology_W_Bancrofti_East_Africa.pdf,1351,59,"#*#Author#*#Jaoko WG, Michael E, Meyrowitsch DW, Estambale BBA, Malecela MN, Simonsen PE. #*#Title#*#Immunoepidemiology of Wuchereria bancrofti infection: parasite transmission intensity, filaria-specific antibodies, and host immunity in two East African communities. #*#Journal#*#Infect. Immun. #*#Date#*#2007 Dec;#*#Volume#*#75(12)#*#Pages#*#:5651–62.",KEN,NA,NA,1491,Prevalence of detectable microfiliaria due to lymphatic filariasis,NA,NA,,,Survey - cross-sectional,Kwale|KEN_35635,,NA,NA,35635,KEN_35635,1,Kingwede,Representative for subnational location only,Rural,Point,NA,,-4.4919841,39.4572678,OpenStreetMap,village,0,0,point,,NA,,NA,,,Both,NA,2005,,2005,,0,NA,1,4,0,1,prevalence,NA,NA,NA,NA,NA,NA,NA,NA,3,105,NA,NA,NA,,NA,person,1,NA,NA,NA,NA,NA,antigenaemia,CFA in blood,blood specimens positive for CFA by ELISA,Wuchereria bancrofti,NA,NA,NA,NA,,190,189.2,NA,NA,"Study year not specified. The same author published data from the same locations in 2006, so I am assuming the study year to be 2005. ",NA,cserway,0,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35635,"Immunoepidemiology of Wuchereria bancrofti infection: parasite transmission intensity, filaria-specific antibodies, and host immunity in two East African communities",288847,NA,0,0,1,0,2,
age,J:\Project\NTDS\data\LF\Exctracted PDFs\Jaoko_Immunoepidemiology_W_Bancrofti_East_Africa.pdf,1352,59,"#*#Author#*#Jaoko WG, Michael E, Meyrowitsch DW, Estambale BBA, Malecela MN, Simonsen PE. #*#Title#*#Immunoepidemiology of Wuchereria bancrofti infection: parasite transmission intensity, filaria-specific antibodies, and host immunity in two East African communities. #*#Journal#*#Infect. Immun. #*#Date#*#2007 Dec;#*#Volume#*#75(12)#*#Pages#*#:5651–62.",KEN,NA,NA,1491,Prevalence of detectable microfiliaria due to lymphatic filariasis,NA,NA,,,Survey - cross-sectional,Kwale|KEN_35635,,NA,NA,35635,KEN_35635,1,Kingwede,Representative for subnational location only,Rural,Point,NA,,-4.4919841,39.4572678,OpenStreetMap,village,0,0,point,,NA,,NA,,,Both,NA,2005,,2005,,0,NA,5,9,0,1,prevalence,NA,NA,NA,NA,NA,NA,NA,NA,0,129,NA,NA,NA,,NA,person,1,NA,NA,NA,NA,NA,persons showing microfilariae,microfilariae in the blood,microfilariae in 100 cmm sample,Wuchereria bancrofti,NA,NA,NA,NA,,190,190.1,NA,NA,"Study year not specified. The same author published data from the same locations in 2006, so I am assuming the study year to be 2005. ",NA,cserway,0,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,counting chamber technique,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35635,"Immunoepidemiology of Wuchereria bancrofti infection: parasite transmission intensity, filaria-specific antibodies, and host immunity in two East African communities",288847,NA,NA,0,NA,1,2,
age,J:\Project\NTDS\data\LF\Exctracted PDFs\Jaoko_Immunoepidemiology_W_Bancrofti_East_Africa.pdf,1353,59,"#*#Author#*#Jaoko WG, Michael E, Meyrowitsch DW, Estambale BBA, Malecela MN, Simonsen PE. #*#Title#*#Immunoepidemiology of Wuchereria bancrofti infection: parasite transmission intensity, filaria-specific antibodies, and host immunity in two East African communities. #*#Journal#*#Infect. Immun. #*#Date#*#2007 Dec;#*#Volume#*#75(12)#*#Pages#*#:5651–62.",KEN,NA,NA,1491,Prevalence of detectable microfiliaria due to lymphatic filariasis,NA,NA,,,Survey - cross-sectional,Kwale|KEN_35635,,NA,NA,35635,KEN_35635,1,Kingwede,Representative for subnational location only,Rural,Point,NA,,-4.4919841,39.4572678,OpenStreetMap,village,0,0,point,,NA,,NA,,,Both,NA,2005,,2005,,0,NA,5,9,0,1,prevalence,NA,NA,NA,NA,NA,NA,NA,NA,9,129,NA,NA,NA,,NA,person,1,NA,NA,NA,NA,NA,antigenaemia,CFA in blood,blood specimens positive for CFA by ELISA,Wuchereria bancrofti,NA,NA,NA,NA,,190,190.2,NA,NA,"Study year not specified. The same author published data from the same locations in 2006, so I am assuming the study year to be 2005. ",NA,cserway,0,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35635,"Immunoepidemiology of Wuchereria bancrofti infection: parasite transmission intensity, filaria-specific antibodies, and host immunity in two East African communities",288847,NA,0,0,1,0,2,
age,J:\Project\NTDS\data\LF\Exctracted PDFs\Jaoko_Immunoepidemiology_W_Bancrofti_East_Africa.pdf,1354,59,"#*#Author#*#Jaoko WG, Michael E, Meyrowitsch DW, Estambale BBA, Malecela MN, Simonsen PE. #*#Title#*#Immunoepidemiology of Wuchereria bancrofti infection: parasite transmission intensity, filaria-specific antibodies, and host immunity in two East African communities. #*#Journal#*#Infect. Immun. #*#Date#*#2007 Dec;#*#Volume#*#75(12)#*#Pages#*#:5651–62.",KEN,NA,NA,1491,Prevalence of detectable microfiliaria due to lymphatic filariasis,NA,NA,,,Survey - cross-sectional,Kwale|KEN_35635,,NA,NA,35635,KEN_35635,1,Kingwede,Representative for subnational location only,Rural,Point,NA,,-4.4919841,39.4572678,OpenStreetMap,village,0,0,point,,NA,,NA,,,Both,NA,2005,,2005,,0,NA,10,14,0,1,prevalence,NA,NA,NA,NA,NA,NA,NA,NA,1,138,NA,NA,NA,,NA,person,1,NA,NA,NA,NA,NA,persons showing microfilariae,microfilariae in the blood,microfilariae in 100 cmm sample,Wuchereria bancrofti,NA,NA,NA,NA,,190,190.1,NA,NA,"Study year not specified. The same author published data from the same locations in 2006, so I am assuming the study year to be 2005. ",NA,cserway,0,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,counting chamber technique,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35635,"Immunoepidemiology of Wuchereria bancrofti infection: parasite transmission intensity, filaria-specific antibodies, and host immunity in two East African communities",288847,NA,NA,0,NA,1,2,
age,J:\Project\NTDS\data\LF\Exctracted PDFs\Jaoko_Immunoepidemiology_W_Bancrofti_East_Africa.pdf,1355,59,"#*#Author#*#Jaoko WG, Michael E, Meyrowitsch DW, Estambale BBA, Malecela MN, Simonsen PE. #*#Title#*#Immunoepidemiology of Wuchereria bancrofti infection: parasite transmission intensity, filaria-specific antibodies, and host immunity in two East African communities. #*#Journal#*#Infect. Immun. #*#Date#*#2007 Dec;#*#Volume#*#75(12)#*#Pages#*#:5651–62.",KEN,NA,NA,1491,Prevalence of detectable microfiliaria due to lymphatic filariasis,NA,NA,,,Survey - cross-sectional,Kwale|KEN_35635,,NA,NA,35635,KEN_35635,1,Kingwede,Representative for subnational location only,Rural,Point,NA,,-4.4919841,39.4572678,OpenStreetMap,village,0,0,point,,NA,,NA,,,Both,NA,2005,,2005,,0,NA,10,14,0,1,prevalence,NA,NA,NA,NA,NA,NA,NA,NA,19,138,NA,NA,NA,,NA,person,1,NA,NA,NA,NA,NA,antigenaemia,CFA in blood,blood specimens positive for CFA by ELISA,Wuchereria bancrofti,NA,NA,NA,NA,,190,190.2,NA,NA,"Study year not specified. The same author published data from the same locations in 2006, so I am assuming the study year to be 2005. ",NA,cserway,0,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35635,"Immunoepidemiology of Wuchereria bancrofti infection: parasite transmission intensity, filaria-specific antibodies, and host immunity in two East African communities",288847,NA,0,0,1,0,2,
age,J:\Project\NTDS\data\LF\Exctracted PDFs\Jaoko_Immunoepidemiology_W_Bancrofti_East_Africa.pdf,1356,59,"#*#Author#*#Jaoko WG, Michael E, Meyrowitsch DW, Estambale BBA, Malecela MN, Simonsen PE. #*#Title#*#Immunoepidemiology of Wuchereria bancrofti infection: parasite transmission intensity, filaria-specific antibodies, and host immunity in two East African communities. #*#Journal#*#Infect. Immun. #*#Date#*#2007 Dec;#*#Volume#*#75(12)#*#Pages#*#:5651–62.",KEN,NA,NA,1491,Prevalence of detectable microfiliaria due to lymphatic filariasis,NA,NA,,,Survey - cross-sectional,Kwale|KEN_35635,,NA,NA,35635,KEN_35635,1,Kingwede,Representative for subnational location only,Rural,Point,NA,,-4.4919841,39.4572678,OpenStreetMap,village,0,0,point,,NA,,NA,,,Both,NA,2005,,2005,,0,NA,15,19,0,1,prevalence,NA,NA,NA,NA,NA,NA,NA,NA,2,77,NA,NA,NA,,NA,person,1,NA,NA,NA,NA,NA,persons showing microfilariae,microfilariae in the blood,microfilariae in 100 cmm sample,Wuchereria bancrofti,NA,NA,NA,NA,,190,190.1,NA,NA,"Study year not specified. The same author published data from the same locations in 2006, so I am assuming the study year to be 2005. ",NA,cserway,0,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,counting chamber technique,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35635,"Immunoepidemiology of Wuchereria bancrofti infection: parasite transmission intensity, filaria-specific antibodies, and host immunity in two East African communities",288847,NA,NA,0,NA,1,2,
age,J:\Project\NTDS\data\LF\Exctracted PDFs\Jaoko_Immunoepidemiology_W_Bancrofti_East_Africa.pdf,1357,59,"#*#Author#*#Jaoko WG, Michael E, Meyrowitsch DW, Estambale BBA, Malecela MN, Simonsen PE. #*#Title#*#Immunoepidemiology of Wuchereria bancrofti infection: parasite transmission intensity, filaria-specific antibodies, and host immunity in two East African communities. #*#Journal#*#Infect. Immun. #*#Date#*#2007 Dec;#*#Volume#*#75(12)#*#Pages#*#:5651–62.",KEN,NA,NA,1491,Prevalence of detectable microfiliaria due to lymphatic filariasis,NA,NA,,,Survey - cross-sectional,Kwale|KEN_35635,,NA,NA,35635,KEN_35635,1,Kingwede,Representative for subnational location only,Rural,Point,NA,,-4.4919841,39.4572678,OpenStreetMap,village,0,0,point,,NA,,NA,,,Both,NA,2005,,2005,,0,NA,15,19,0,1,prevalence,NA,NA,NA,NA,NA,NA,NA,NA,15,77,NA,NA,NA,,NA,person,1,NA,NA,NA,NA,NA,antigenaemia,CFA in blood,blood specimens positive for CFA by ELISA,Wuchereria bancrofti,NA,NA,NA,NA,,190,190.2,NA,NA,"Study year not specified. The same author published data from the same locations in 2006, so I am assuming the study year to be 2005. ",NA,cserway,0,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35635,"Immunoepidemiology of Wuchereria bancrofti infection: parasite transmission intensity, filaria-specific antibodies, and host immunity in two East African communities",288847,NA,0,0,1,0,2,
