"","Reference_restr","Author_restr","Source_restr"
"39","Bancroftian filariasis in an endemic area of Brazil: differences between genders during puberty","Braga C, Dourado I, Ximenes R, Miranda J and Alexander N","Published paper"
"40","The Leogane, Haiti demonstration project: decreased microfilaremia and program costs after three years of mass drug administration","de Rochars MB, Kanjilal S, Direny AN, Radday J, Lafontant JG, Mathieu E, Rheingans RD, Haddix AC, Streit TG, Beach MJ, Addiss DG and Lammie PJ","Published paper"
"41","A community-based study of factors associated with continuing transmission of lymphatic filariasis in Leogane, Haiti","Boyd A, Won KY, McClintock SK, Donovan CV, Laney SJ, Williams SA, Pilotte N, Streit TG, Beau de Rochars MV and Lammie PJ","Published paper"
"42","Changes in Wuchereria bancrofti infection in a highly endemic community following 10 rounds of mass administration of diethylcarbamazine","Ramaiah KD, Vanamail P and Das PK","Published paper"
"43","Immunochromatographic test (ICT) for estimation of true prevalence of bancroftian filariasis in an endemic area in southern India","Sunish IP, Rajendran R, Satyanarayana K, Munirathinam A and Gajanana A","Published paper"
"44","Surveillance of lymphatic filariasis after stopping ten years of mass drug administration in rural communities in south India","Ramaiah KD and Vanamail P","Published paper"
"45","Impact of the 2004 mass drug administration for the control of lymphatic filariasis, in urban and rural areas of the Western province of Sri Lanka.","Gunawardena GSa, Ismail MM, Bradley MH and Karunaweera ND","Published paper"
"46","Evaluation of the ICT whole-blood Wuchereria bancrofii in Sri Lanka card test to detect infection due to","Chandrasena TGAN and Premaratnal R","Personal Commnunication"
"47","Global Programme to Eliminate Lymphatic Filariasis. Annual Report on Lymphatic Filariasis 2003","WHO","Report"
"48","Epidemiological assessment of continuing transmission of lymphatic filariasis in Samoa","Joseph H, Maiava F, Naseri T, Silva U, Lammie P and Melrose W","Published paper"
"49","WHO country report","WHO","Report"
"50","Evaluation of the program to eliminate lymphatic filariasis in Vanuatu following two years of mass drug administration implementation: results and methodologic approach","Fraser M, Taleo G, Taleo F, Yaviong J, Amos M, Babu M and Kalkoa M","Published paper"
