"","field_citation_value","file_path"
"11","#*#Author#*#Kroidl I, Saathof E, Maganga L, Clowes P, Maboko L, Hoerauf A, Makunde WH, Haule A, Mviombo P, Pitter B, Mgeni N, Mabuye J, Kowuor D, Mwingira U, Malecela MN, Loescher T, Hoelscher M. #*#Title#*#Prevalence of Lymphatic Filariasis and Treatment Effectiveness of Albendazole/Ivermectin in Individuals with HIV Co-infection in Southwest-Tanzania. #*#Journal#*#Plos Neglected Tropical Diseases. #*#Date#*#2016 Apr;#*#Volume#*#10(4)#*#Pages#*#:e0004618.","J:\Project\NTDS\data\LF\Exctracted PDFs\Liang_Prevalance_LF_American_Samoa_three_years_social_mobilization_MDA.pdf"
"12","#*#Author#*#Leang R, Socheat D, Bin B, Bunkea T, Odermatt P. #*#Title#*#Assessment of disease and infection of lymphatic filariasis in Northeastern Cambodia. #*#Journal#*#Tropical Medicine & International Health. #*#Date#*#2004 Oct;#*#Volume#*#9(10)#*#Pages#*#:1115–20. 
","J:\Project\NTDS\data\LF\Exctracted PDFs\Leang_Disease_Infection_LF_Cambodia.pdf"
"13","#*#Author#*#Melrose W, Pisters P, Turner P, Kombati Z, Selve BP, Hii Jeffrey null, Speare R. #*#Title#*#Prevalence of filarial antigenaemia in Papua Nnew Guinea: results of surveys by the School of Public Health and Tropical Medicine, James Cook University, Townsville, Australia. #*#Journal#*#P N G Med J. #*#Date#*#2000 Dec;#*#Volume#*#43(3–4)#*#Pages#*#:161–5.","J:\Project\NTDS\data\LF\Exctracted PDFs\Melrose_Prevalence_Filarial_Antigenaemia_PNG.pdf"
"14","#*#Author#*#Meyrowitsch DW, Simonsen PE, Magesa SM. #*#Title#*#Long-term effect of three different strategies for mass diethylcarbamazine administration in bancroftian filariasis: follow-up at 10 years after treatment. #*#Journal#*#Transactions of the Royal Society of Tropical Medicine and Hygiene. #*#Date#*#2004 Nov;#*#Volume#*#98(11)#*#Pages#*#:627–34. 
","J:\Project\NTDS\data\LF\Exctracted PDFs\Meyrowitsch_Long_term_DEC_Tanzania_10yrs.pdf"
"15","#*#Author#*#Rajendran R, Sunish IP, Mani TR, Munirathinam A, Abdullah SM, Arunachalam N, Satyanarayana K. #*#Title#*#Impact of two annual single-dose mass drug administrations with diethylcarbamazine alone or in combination with albendazole on Wuchereria bancrofti microfilaraemia and antigenaemia in South India. #*#Journal#*#Transactions of the Royal Society of Tropical Medicine and Hygiene. #*#Date#*#2004 Mar;#*#Volume#*#98(3)#*#Pages#*#:174–81.","J:\Project\NTDS\data\LF\Exctracted PDFs\Rajendran_Two_Mass_Admins_DEC_Albendazole.pdf"
"16","#*#Author#*#Reeve D. #*#Title#*#Comparative accuracy and “field-friendly” effectiveness of diagnostic tools for lymphatic filariasis and neurocysticercosis in Papua New Guinea and Timor Leste with consideration on the impact on parasite reduction programs [Internet] [PhD]. James Cook University, School of Public Health, Tropical Medicine and Rehabilitation Sciences; #*#Date#*#2010 [cited 2017 Jan 18]. Available from: http://researchonline.jcu.edu.au/19042/2/02whole.pdf","J:\Project\NTDS\data\LF\Exctracted PDFs\Reeve_Comparative_Accuracy_Effectiveness_Diagnostics_LF_PNG.pdf"
"17","#*#Author#*#Sunish IP, Munirathinam A, Kalimuthu M, Kumar VA, Tyagi BK. #*#Title#*#Persistence of Lymphatic Filarial Infection in the Paediatric Population of Rural Community, after Six Rounds of Annual Mass Drug Administrations. #*#Journal#*#Journal of Tropical Pediatrics. #*#Date#*#2014 Jun;#*#Volume#*#60(3)#*#Pages#*#:245–8. 
","J:\Project\NTDS\data\LF\Exctracted PDFs\Sunish_Persistence_LF_Paediatric_Rural_Community_Six_Rounds_MDA.pdf"
"18","#*#Author#*#Sunish IP, Rajendran R, Mani TR, Munirathinam A, Reuben R, Dash AP. #*#Title#*#Impact of single dose of diethylcarbamazine and other antifilarial drug combinations on bancroftian filarial infection variables: assessment after 2 years. #*#Journal#*#Parasitol. Int. #*#Date#*#2006 Sep;#*#Volume#*#55(3)#*#Pages#*#:233–6.","J:\Project\NTDS\data\LF\Exctracted PDFs\Sunish_Impact_single_dose_diethylcarbamazine_combinations_BF_variables_assessment_2_years.pdf"
"19","#*#Author#*#Washington CH, Radday J, Streit TG, Boyd HA, Beach MJ, Addiss DG, Lovince R, Lovegrove MC, Lafontant JG, Lammie PJ, Hightower AW. #*#Title#*#Spatial clustering of filarial transmission before and after a Mass Drug Administration in a setting of low infection prevalence. #*#Journal#*#Filaria Journal [Internet]. #*#Date#*#2004;#*#Volume#*#3. Available from: https://www.scopus.com/inward/record.uri?eid=2-s2.0-2942514522&partnerID=40&md5=6770a214d1c97dbd247c5099b1da210e","J:\Project\NTDS\data\LF\Exctracted PDFs\Washington_Spatial_Clustering_before_after_MDA.pdf"
"20","#*#Author#*#Won KY, de Rochars MB, Kyelem D, Streit TG, Lammie PJ. #*#Title#*#Assessing the Impact of a Missed Mass Drug Administration in Haiti. #*#Journal#*#Plos Neglected Tropical Diseases. #*#Date#*#2009 Aug;#*#Volume#*#3(8)#*#Pages#*#:e443. 
","J:\Project\NTDS\data\LF\Exctracted PDFs\Won_Assessing_Impact_Missed_MDA_Haiti.PDF"
