"","diagnostic","row_num","parent_id","input_type","modelable_entity_id","modelable_entity_name","underlying_nid","nid","underlying_field_citation_value","field_citation_value","file_path","page_num","table_num","source_type","location_name","location_name_2","location_id_2","location flag","location_id","ihme_loc_id","smaller_site_unit","site_memo","representative_name","urbanicity_type","recall_type","recall_type_value","sampling_type","lat","long","latlong_source+S:Z","location type","geo_accuracy","geo_precision","shape_type","poly_type","buffer_radius","poly_reference","poly_id","poly_id_field_name","site_notes","sex","sex_issue","year_start","month_start","year_end","month_end","year_accuracy","year_issue","age_start","age_end","age_issue","age_demographer","measure","range_only","range_lower","range_upper","mean","lower","upper","standard_error","effective_sample_size","cases","sample_size","mf_density_pos","mf_density_tot","density issue","density notes","design_effect","unit_type","unit_value_as_published","measure_issue","measure_adjustment","uncertainty_type","uncertainty_type_value","response_rate","case_name","case_definition","case_diagnostics","filarial species","vector Culex","vector Anopheles","vector Aedes","vector Mansonia","dominant vector","group","specificity","unique","group_review","note_modeler","note_SR","Exclude","extractor","is_outlier","data_sheet_filepath","cv_TxNum","cv_TxPerc","COMMENTS","cv_MDAbase","cv_MDAend","cv_MDAschool","n_rounds","cv_SS","cv_spotcheck","cv_LQAS","cv_mapping_survey","cv_ICT","cv_blood_smear","cv_filter","cv_Og4C3","cv_oth_diag","cv_vector control","cv_OtherIntervention1","cv_OtherIntervention2","InterventionType","cv_Slum","CityName","cv_Pregnant","cv_Indigenous","GroupName","cv_DxType","cv_NumStools","cv_DxConcentration","diagnostic_name"
"11",1,"962","","","1491","Prevalence of detectable microfiliaria due to lymphatic filariasis","","","","#*#Author#*#Leang R, Socheat D, Bin B, Bunkea T, Odermatt P. #*#Title#*#Assessment of disease and infection of lymphatic filariasis in Northeastern Cambodia. #*#Journal#*#Tropical Medicine & International Health. #*#Date#*#2004 Oct;#*#Volume#*#9(10)#*#Pages#*#:1115–20. 
","J:\Project\NTDS\data\LF\Exctracted PDFs\Leang_Disease_Infection_LF_Cambodia.pdf","1119","5","Survey - cross-sectional","Cambodia|KHM","","#N/A","","10","KHM","1","Stung Treng","Representative for subnational location only","Unknown","Point","","","","","","province","0","0","polygon","admin","","J:\WORK\11_geospatial\06_original shapefiles\GAUL_admin\admin1\g2015_2001_1\g2015_2001_1.shp","812","ADM1_CODE","","Both","0","2001","Feb","2001","Apr","0","","0","99","1","1","prevalence","","","","","","","","","4","1055","","","","","","person","1","","","","","","antigenaemia","CFA in blood","ICT card test postive","Wuchereria bancrofti",1,1,1,1,"","156","location and species","156.12","","","Some participants (81) selected because they showed symptoms of the leg or scrotum, but most were recruited from randomly selected households.",NA,"cserway","0","","","","","","","","","","","","","1","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"ict"
"12",1,"966","","","1491","Prevalence of detectable microfiliaria due to lymphatic filariasis","","","","#*#Author#*#Meyrowitsch DW, Simonsen PE, Magesa SM. #*#Title#*#Long-term effect of three different strategies for mass diethylcarbamazine administration in bancroftian filariasis: follow-up at 10 years after treatment. #*#Journal#*#Transactions of the Royal Society of Tropical Medicine and Hygiene. #*#Date#*#2004 Nov;#*#Volume#*#98(11)#*#Pages#*#:627–34. 
","J:\Project\NTDS\data\LF\Exctracted PDFs\Meyrowitsch_Long_term_DEC_Tanzania_10yrs.pdf","629","1","Survey - cross-sectional","Tanzania|TZA","","#N/A","","189","TZA","1","Tawalani","Representative for subnational location only","rural","Point","","","-4.8667","39.15","Google maps and various web search results","villages","1","1","point","","","","","","","Both","0","2001","Jul","2001","Dec","0","","1","99","1","1","prevalence","","","","0.451","","","","","","468","","","","","","person","1","","","","","","antigenaemia","CFA in blood","ICT card test postive","Wuchereria bancrofti",NA,NA,NA,NA,"","157","total","157","","","Same villages surveyed as in Meyrowitsch 1996. This survey occurred 10 years after the end of treatment.",NA,"cserway","0","","","","","","","","","","","","","1","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"ict"
"13",1,"967","","","1491","Prevalence of detectable microfiliaria due to lymphatic filariasis","","","","#*#Author#*#Meyrowitsch DW, Simonsen PE, Magesa SM. #*#Title#*#Long-term effect of three different strategies for mass diethylcarbamazine administration in bancroftian filariasis: follow-up at 10 years after treatment. #*#Journal#*#Transactions of the Royal Society of Tropical Medicine and Hygiene. #*#Date#*#2004 Nov;#*#Volume#*#98(11)#*#Pages#*#:627–34. 
","J:\Project\NTDS\data\LF\Exctracted PDFs\Meyrowitsch_Long_term_DEC_Tanzania_10yrs.pdf","629","1","Survey - cross-sectional","Tanzania|TZA","","#N/A","","189","TZA","1","Kwale","Representative for subnational location only","rural","Point","","","-4.9667","39.1333","Google maps and various web search results","villages","1","1","point","","","","","","","Both","0","2001","Jul","2001","Dec","0","","1","99","1","1","prevalence","","","","0.435","","","","","","556","","","","","","person","1","","","","","","antigenaemia","CFA in blood","ICT card test postive","Wuchereria bancrofti",NA,NA,NA,NA,"","158","total","158","","","Same villages surveyed as in Meyrowitsch 1996. This survey occurred 10 years after the end of treatment.",NA,"cserway","0","","","","","","","","","","","","","1","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"ict"
"14",1,"968","","","1491","Prevalence of detectable microfiliaria due to lymphatic filariasis","","","","#*#Author#*#Meyrowitsch DW, Simonsen PE, Magesa SM. #*#Title#*#Long-term effect of three different strategies for mass diethylcarbamazine administration in bancroftian filariasis: follow-up at 10 years after treatment. #*#Journal#*#Transactions of the Royal Society of Tropical Medicine and Hygiene. #*#Date#*#2004 Nov;#*#Volume#*#98(11)#*#Pages#*#:627–34. 
","J:\Project\NTDS\data\LF\Exctracted PDFs\Meyrowitsch_Long_term_DEC_Tanzania_10yrs.pdf","629","1","Survey - cross-sectional","Tanzania|TZA","","#N/A","","189","TZA","1","Mkokora/Kwemkuna","Representative for subnational location only","rural","Point","","","-4.95414","38.93554","Google maps and various web search results","villages","1","1","polygon","buffer","30","","","","Could not locate this village; choose a point central to the other 3 and drew a buffer.","Both","0","2001","Jul","2001","Dec","0","","1","99","1","1","prevalence","","","","0.425","","","","","","299","","","","","","person","1","","","","","","antigenaemia","CFA in blood","ICT card test postive","Wuchereria bancrofti",NA,NA,NA,NA,"","159","total","159","","","Same villages surveyed as in Meyrowitsch 1996. This survey occurred 10 years after the end of treatment.",NA,"cserway","0","","","","","","","","","","","","","1","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"ict"
"15",1,"977","","","1491","Prevalence of detectable microfiliaria due to lymphatic filariasis","","","","#*#Author#*#Rajendran R, Sunish IP, Mani TR, Munirathinam A, Abdullah SM, Arunachalam N, Satyanarayana K. #*#Title#*#Impact of two annual single-dose mass drug administrations with diethylcarbamazine alone or in combination with albendazole on Wuchereria bancrofti microfilaraemia and antigenaemia in South India. #*#Journal#*#Transactions of the Royal Society of Tropical Medicine and Hygiene. #*#Date#*#2004 Mar;#*#Volume#*#98(3)#*#Pages#*#:174–81.","J:\Project\NTDS\data\LF\Exctracted PDFs\Rajendran_Two_Mass_Admins_DEC_Albendazole.pdf","","","Survey - cross-sectional","Tamil N?du|IND_4870","","#N/A","","4870","IND_4870","1","Tirokoilur and Mugaiyur revenue units of Villupuram district","Representative for subnational location only","Rural","Point","","","","","","revenu unit","0","0","polygon","admin","","J:\Project\NTDS\data\LF\Shapefiles\India_LF_Rajendran_2002.shp","0","UniqueID","created custom shapefile to capture these two areas","Both","0","2002","Sep","2002","Sep","0","","2","9","0","1","prevalence","","","","0.0813","","","","","","652","","","","","","person","1","","","","","","antigenaemia","CFA in blood","ICT card test postive (100 cmm sample)","Wuchereria bancrofti",NA,NA,NA,NA,"","160","age","160.2","","","Six months after second round of (new strategy) annual MDA (previous MDA also occurred 1998-2000).",NA,"cserway","0","","","0.85","","","1","","5","","","","","1","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"ict"
"16",1,"978","","","1491","Prevalence of detectable microfiliaria due to lymphatic filariasis","","","","#*#Author#*#Rajendran R, Sunish IP, Mani TR, Munirathinam A, Abdullah SM, Arunachalam N, Satyanarayana K. #*#Title#*#Impact of two annual single-dose mass drug administrations with diethylcarbamazine alone or in combination with albendazole on Wuchereria bancrofti microfilaraemia and antigenaemia in South India. #*#Journal#*#Transactions of the Royal Society of Tropical Medicine and Hygiene. #*#Date#*#2004 Mar;#*#Volume#*#98(3)#*#Pages#*#:174–81.","J:\Project\NTDS\data\LF\Exctracted PDFs\Rajendran_Two_Mass_Admins_DEC_Albendazole.pdf","","","Survey - cross-sectional","Tamil N?du|IND_4870","","#N/A","","4870","IND_4870","1","Tirokoilur and Mugaiyur revenue units of Villupuram district","Representative for subnational location only","Rural","Point","","","","","","revenu unit","0","0","polygon","admin","","J:\Project\NTDS\data\LF\Shapefiles\India_LF_Rajendran_2002.shp","0","UniqueID","created custom shapefile to capture these two areas","Both","0","2002","Sep","2002","Sep","0","","10","25","0","1","prevalence","","","","0.2431","","","","","","510","","","","","","person","1","","","","","","antigenaemia","CFA in blood","ICT card test postive (100 cmm sample)","Wuchereria bancrofti",NA,NA,NA,NA,"","160","age","160.2","","","Six months after second round of (new strategy) annual MDA (previous MDA also occurred 1998-2000).",NA,"cserway","0","","","0.85","","","1","","5","","","","","1","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"ict"
"17",1,"989","","","1491","Prevalence of detectable microfiliaria due to lymphatic filariasis","","","","#*#Author#*#Washington CH, Radday J, Streit TG, Boyd HA, Beach MJ, Addiss DG, Lovince R, Lovegrove MC, Lafontant JG, Lammie PJ, Hightower AW. #*#Title#*#Spatial clustering of filarial transmission before and after a Mass Drug Administration in a setting of low infection prevalence. #*#Journal#*#Filaria Journal [Internet]. #*#Date#*#2004;#*#Volume#*#3. Available from: https://www.scopus.com/inward/record.uri?eid=2-s2.0-2942514522&partnerID=40&md5=6770a214d1c97dbd247c5099b1da210e","J:\Project\NTDS\data\LF\Exctracted PDFs\Washington_Spatial_Clustering_before_after_MDA.pdf","","","Survey - cross-sectional","Haiti|HTI","","#N/A","","114","HTI","1","Mapou, Leogane","Representative for subnational location only","","Point","","","18.504782","-72.623352","Google maps","neighborhood","0","0","point","","","","","","","Both","0","2000","Jun","2000","Jul","0","","0","99","0","1","prevalence","","","","","","","","","60","578","","","","","","person","1","","","","","","antigenaemia","CFA in blood","ICT card test postive (100 cmm sample)","Wuchereria bancrofti",1,NA,NA,NA,"Culex","163","total","163.1","","","No age range given",NA,"cserway","0","","","","","1","","","","1","","","","1","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"ict"
"18",1,"991","","","1491","Prevalence of detectable microfiliaria due to lymphatic filariasis","","","","#*#Author#*#Washington CH, Radday J, Streit TG, Boyd HA, Beach MJ, Addiss DG, Lovince R, Lovegrove MC, Lafontant JG, Lammie PJ, Hightower AW. #*#Title#*#Spatial clustering of filarial transmission before and after a Mass Drug Administration in a setting of low infection prevalence. #*#Journal#*#Filaria Journal [Internet]. #*#Date#*#2004;#*#Volume#*#3. Available from: https://www.scopus.com/inward/record.uri?eid=2-s2.0-2942514522&partnerID=40&md5=6770a214d1c97dbd247c5099b1da210e","J:\Project\NTDS\data\LF\Exctracted PDFs\Washington_Spatial_Clustering_before_after_MDA.pdf","","","Survey - cross-sectional","Haiti|HTI","","#N/A","","114","HTI","1","Mapou, Leogane","Representative for subnational location only","","Point","","","18.504782","-72.623352","Google maps","neighborhood","0","0","point","","","","","","","Both","0","2001","Jul","2001","Jul","0","","0","99","0","1","prevalence","","","","","","","","","27","269","","","","","","person","1","","","","","","antigenaemia","CFA in blood","ICT card test postive (100 cmm sample)","Wuchereria bancrofti",1,NA,NA,NA,"Culex","164","total","164.1","","","No age range given",NA,"cserway","0","","","0.725","","","1","","1","1","","","","1","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"ict"
"19",1,"993","","","1491","Prevalence of detectable microfiliaria due to lymphatic filariasis","","136499","","","J:\Project\NTDS\data\LF\Exctracted PDFs\El-Setouhy_effect_compliance_impact_MDA_elimination_LF_Egypt.pdf","","","Survey - cross-sectional","Egypt|EGY","","#N/A","","141","EGY","1","Azizia (Kafr El Bahary and Kafr El Qebly)","Representative for subnational location only","Rural","Point","","Simple random","29.921989","30.744558","Google map","village","0","1","polygon","buffer","10","","","","Article describes village as part of Giza governorate lying 40 km SW of Cairo.","Male","0","2001",NA,"2001",NA,"1","","6","15","0","1","prevalence","","","","0.143446602","","","","","","","","","","","","person","1","","","","","","antigenaemia","CFA in blood","ICT card test postive","Wuchereria bancrofti",NA,NA,NA,NA,"","165","age and sex","165.1","","","Approximately 1000 people total were surveyed. Year of study not specified, but 5 annual rounds of MDA took place between baseline and final survey. Used 6 years prior to publication. ",NA,"cserway","0","","","","","1","","","","","","","","1","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"ict"
"20",1,"994","","","1491","Prevalence of detectable microfiliaria due to lymphatic filariasis","","136499","","","J:\Project\NTDS\data\LF\Exctracted PDFs\El-Setouhy_effect_compliance_impact_MDA_elimination_LF_Egypt.pdf","","","Survey - cross-sectional","Egypt|EGY","","#N/A","","141","EGY","1","Azizia (Kafr El Bahary and Kafr El Qebly)","Representative for subnational location only","Rural","Point","","Simple random","29.921989","30.744558","Google map","village","0","1","polygon","buffer","10","","","","Article describes village as part of Giza governorate lying 40 km SW of Cairo.","Male","0","2001",NA,"2001",NA,"1","","16","25","0","1","prevalence","","","","0.259223301","","","","","","","","","","","","person","1","","","","","","antigenaemia","CFA in blood","ICT card test postive","Wuchereria bancrofti",NA,NA,NA,NA,"","165","age and sex","165.1","","","Approximately 1000 people total were surveyed. Year of study not specified, but 5 annual rounds of MDA took place between baseline and final survey. Used 6 years prior to publication. ",NA,"cserway","0","","","","","1","","","","","","","","1","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"ict"
"21",1,"995","","","1491","Prevalence of detectable microfiliaria due to lymphatic filariasis","","136499","","","J:\Project\NTDS\data\LF\Exctracted PDFs\El-Setouhy_effect_compliance_impact_MDA_elimination_LF_Egypt.pdf","","","Survey - cross-sectional","Egypt|EGY","","#N/A","","141","EGY","1","Azizia (Kafr El Bahary and Kafr El Qebly)","Representative for subnational location only","Rural","Point","","Simple random","29.921989","30.744558","Google map","village","0","1","polygon","buffer","10","","","","Article describes village as part of Giza governorate lying 40 km SW of Cairo.","Male","0","2001",NA,"2001",NA,"1","","26","35","0","1","prevalence","","","","0.293446602","","","","","","","","","","","","person","1","","","","","","antigenaemia","CFA in blood","ICT card test postive","Wuchereria bancrofti",NA,NA,NA,NA,"","165","age and sex","165.1","","","Approximately 1000 people total were surveyed. Year of study not specified, but 5 annual rounds of MDA took place between baseline and final survey. Used 6 years prior to publication. ",NA,"cserway","0","","","","","1","","","","","","","","1","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"ict"
